iter	Passed	Remaining
272	30347	25233
273	30460	25124
274	30610	25045
275	30729	24939
276	30861	24845
277	31019	24770
278	31150	24674
279	31291	24586
280	31406	24477
281	31524	24370
282	31681	24293
283	31811	24194
284	31956	24107
285	32102	24020
286	32233	23922
287	32353	23815
288	32504	23731
289	32634	23632
290	32769	23535
291	32905	23439
292	32993	23309
293	33141	23221
294	33258	23112
295	33406	23023
296	33555	22935
297	33694	22839
298	33831	22742
299	33963	22642
300	34092	22539
301	34224	22438
302	34369	22346
303	34506	22247
304	34647	22151
305	34761	22038
306	34916	21951
307	35035	21840
308	35164	21736
309	35329	21653
310	35470	21556
311	35613	21459
312	35732	21347
313	35886	21257
314	36004	21145
315	36143	21045
316	36274	20941
317	36412	20839
318	36539	20732
319	36695	20641
320	36843	20545
321	36985	20445
322	37128	20345
323	37275	20248
324	37413	20145
325	37557	20046
326	37677	19933
327	37826	19835
328	37961	19730
329	38104	19629
330	38218	19513
331	38333	19397
332	38449	19282
333	38602	19185
334	38731	19076
335	38875	18975
336	38988	18858
337	39133	18756
338	39262	18646
339	39400	18541
340	39535	18434
341	39694	18338
342	39825	18228
343	39953	18118
344	40092	18012
345	40242	17911
346	40386	17807
347	40506	17692
348	40643	17584
349	40780	17477
350	40899	17361
351	41019	17246
352	41154	17138
353	41299	17033
354	41435	16924
355	41574	16816
356	41716	16709
357	41837	16594
358	41968	16483
359	42123	16381
360	42267	16274
361	42404	16165
362	42539	16054
363	42674	15944
364	42800	15830
365	42950	15725
366	43071	15608
367	43207	15498
368	43339	15386
369	43485	15278
370	43631	15170
371	43764	15058
372	43915	14952
373	44050	14840
374	44165	14721
375	44294	14607
376	44431	14496
377	44548	14378
378	44682	14265
379	44797	14146
380	44945	14038
381	45063	13920
382	45188	13804
383	45304	13685
384	45449	13575
385	45571	13458
386	45712	13347
387	45841	13232
388	45955	13113
389	46114	13006
390	46232	12888
391	46367	12774
392	46519	12665
393	46655	12551
394	46801	12441
395	46957	12332
396	47091	12217
397	47241	12107
398	47359	11988
399	47492	11873
400	47624	11757
401	47767	11644
402	47900	11529
403	48047	11417
404	48165	11298
405	48293	11181
406	48410	11061
407	48528	10942
408	48644	10823
409	48763	10704
410	48902	10589
411	49038	10474
412	49173	10358
413	49317	10244
414	49436	10125
415	49579	10011
416	49723	9896
417	49843	9777
418	49957	9657
419	50121	9547
420	50264	9432
421	50401	9315
422	50546	9201
423	50674	9083
424	50827	8969
425	50962	8852
426	51089	8734
427	51223	8616
428	51400	8506
429	51528	8388
430	51650	8268
431	51789	8152
432	51932	8035
433	52051	7915
434	52166	7794
435	52304	7677
436	52437	7559
437	52595	7445
438	52744	7329
439	52864	7208
440	53012	7092
441	53133	6972
442	53274	6854
443	53418	6737
444	53554	6619
445	53687	6500
446	53822	6381
447	53966	6264
448	54139	6149
449	54260	6028
450	54411	5911
451	54569	5795
452	54690	5674
453	54835	5556
454	54979	5437
455	55115	5318
456	55273	5200
457	55387	5079
458	55549	4961
459	55692	4842
460	55814	4721
461	55953	4602
462	56076	4481
463	56196	4360
464	56355	4241
465	56474	4120
466	56612	4000
467	56743	3879
468	56886	3760
469	57019	3639
470	57174	3520
471	57303	3399
472	57420	3277
473	57551	3156
474	57682	3035
475	57800	2914
476	57944	2793
477	58084	2673
478	58213	2552
479	58333	2430
480	58462	2309
481	58599	2188
482	58720	2066
483	58839	1945
484	58975	1823
485	59117	1702
486	59267	1582
487	59409	1460
488	59541	1339
489	59695	1218
490	59841	1096
491	59985	975
492	60118	853
493	60248	731
494	60382	609
495	60507	487
496	60624	365
497	60746	243
498	60895	122
499	61041	0
