iter	MultiClass
0	1.367253308
1	1.350981569
2	1.340947089
3	1.327384668
4	1.314325235
5	1.29978631
6	1.287612792
7	1.277641012
8	1.267232313
9	1.256155092
10	1.2447509
11	1.233103515
12	1.224255936
13	1.212355715
14	1.204893434
15	1.198453528
16	1.189732827
17	1.179328757
18	1.172810736
19	1.163272401
20	1.155504134
21	1.146974075
22	1.140107814
23	1.132851781
24	1.126193536
25	1.117289962
26	1.109344013
27	1.101612999
28	1.09045178
29	1.085275627
30	1.078819206
31	1.072905795
32	1.067698818
33	1.061941687
34	1.057132299
35	1.050515091
36	1.037420095
37	1.02930649
38	1.022617002
39	1.018891438
40	1.012376216
41	1.0052877
42	0.9965112183
43	0.987548512
44	0.9824493297
45	0.9748478559
46	0.9704238852
47	0.965528579
48	0.9598849363
49	0.9512213734
50	0.9434819751
51	0.9362432847
52	0.9295794801
53	0.9196865409
54	0.9141168889
55	0.907980605
56	0.8999574915
57	0.8937736327
58	0.8850756379
59	0.8813348907
60	0.8765217485
61	0.8719971688
62	0.8638886396
63	0.8600162966
64	0.8530529655
65	0.8478068737
66	0.8397939908
67	0.8329336803
68	0.8270242752
69	0.82183859
70	0.8168899035
71	0.8109362533
72	0.801271218
73	0.7951222933
74	0.7876981114
75	0.7821850482
76	0.7752724204
77	0.7715864554
78	0.7677165935
79	0.7610720161
80	0.7574701387
81	0.7542634742
82	0.7490067297
83	0.7416766453
84	0.737058691
85	0.7292858302
86	0.7255375058
87	0.7178071712
88	0.7127407973
89	0.7074830904
90	0.7019364369
91	0.6950831428
92	0.6897964404
93	0.6819324296
94	0.6767822734
95	0.6719626085
96	0.6677006965
97	0.6643130725
98	0.6592813071
99	0.6559280553
100	0.6524355224
101	0.6492694548
102	0.6479625378
103	0.6446203655
104	0.640097919
105	0.6356591341
106	0.6296472343
107	0.6241996022
108	0.6212234846
109	0.6193345692
110	0.6145068553
111	0.6122163473
112	0.6076315416
113	0.6055720307
114	0.6034614917
115	0.6013970429
116	0.5989884356
117	0.5959860478
118	0.5928224462
119	0.5878045858
120	0.5837228314
121	0.5806695089
122	0.5781684335
123	0.5711519506
124	0.5662639182
125	0.5639279162
126	0.5592705617
127	0.5551895149
128	0.5503547872
129	0.5492064295
130	0.5461166323
131	0.5416557614
132	0.5386344063
133	0.5339906504
134	0.5307435366
135	0.5281195825
136	0.5254886942
137	0.5225304509
138	0.5204199827
139	0.5175030232
140	0.514373496
141	0.5096985265
142	0.5070892778
143	0.5034149201
144	0.5016674225
145	0.4995647508
146	0.4979355528
147	0.4950984837
148	0.4928520983
149	0.4892654811
150	0.4861521307
151	0.4829163644
152	0.4793538589
153	0.4758146473
154	0.4744811717
155	0.4717807272
156	0.468138842
157	0.4656282365
158	0.4631312927
159	0.4598614483
160	0.4576702717
161	0.4550602385
162	0.4518958777
163	0.449847016
164	0.4479768843
165	0.4456846393
166	0.4433347735
167	0.4403863396
168	0.4375295128
169	0.435256988
170	0.4316336862
171	0.4301406684
172	0.4272822561
173	0.4230714115
174	0.4206303733
175	0.4174039391
176	0.4157226523
177	0.4122359984
178	0.410585125
179	0.4083758982
180	0.4072419574
181	0.4040468414
182	0.4031918387
183	0.4015108924
184	0.399174325
185	0.3958135985
186	0.3935263201
187	0.3915850721
188	0.3902077842
189	0.3883929468
190	0.3871206702
191	0.3857253113
192	0.3827728324
193	0.3811502926
194	0.3793102404
195	0.377598721
196	0.3760867963
197	0.3749042319
198	0.372150675
199	0.3705179994
200	0.368629602
201	0.3651848388
202	0.3628863815
203	0.3603721303
204	0.3586433493
205	0.3567651632
206	0.3551143967
207	0.3520294805
208	0.3509800548
209	0.3480131798
210	0.3468492978
211	0.3446707876
212	0.3422975989
213	0.3411231058
214	0.3389209053
215	0.3372786492
216	0.3352775113
217	0.3339800288
218	0.3317758072
219	0.3304367763
220	0.3281254718
221	0.3269729962
222	0.3239787322
223	0.3232090285
224	0.3207878447
225	0.3191737677
226	0.3183249998
227	0.3171981943
228	0.3165905147
229	0.3148577663
230	0.3130384417
231	0.3122389301
232	0.3110278805
233	0.3097448915
234	0.3085762343
235	0.3078568582
236	0.3060817658
237	0.304891061
238	0.3040038151
239	0.3023529413
240	0.3010474721
241	0.2992994652
242	0.2977553412
243	0.2962624471
244	0.2950576861
245	0.2933703475
246	0.2925435194
247	0.2919360206
248	0.2908022482
249	0.2897167041
250	0.2882706044
251	0.286520183
252	0.28540346
253	0.2847231129
254	0.2835134569
255	0.2818923866
256	0.2803873285
257	0.2801368575
258	0.2781793226
259	0.2772340772
260	0.2765253749
261	0.2754577087
262	0.2736376941
263	0.2730187851
264	0.2716190217
265	0.2707158947
266	0.2699012285
267	0.2688646664
268	0.2676666663
269	0.2670062015
270	0.2661652234
271	0.2650014317
272	0.2643550178
273	0.2627863797
274	0.2617468383
275	0.2605370817
276	0.2596810104
277	0.2584748353
278	0.2572591611
279	0.2565616225
280	0.2559821854
281	0.2552265503
282	0.2544084689
283	0.2536865834
284	0.2527733218
285	0.2505166622
286	0.249685452
287	0.2489961807
288	0.247953316
289	0.2477013474
290	0.247087913
291	0.2462329888
292	0.2457404084
293	0.2450214098
294	0.2440579694
295	0.2431218537
296	0.2422099923
297	0.2416937659
298	0.2408854801
299	0.2403700243
300	0.2399674977
301	0.2391767448
302	0.2388391044
303	0.2384384663
304	0.2381594691
305	0.2371613856
306	0.2362415398
307	0.2353228508
308	0.2342926134
309	0.2335118246
310	0.2329194253
311	0.2324643427
312	0.2321054186
313	0.2313764995
314	0.2309222188
315	0.2304391281
316	0.2299938707
317	0.2297388638
318	0.229153296
319	0.2284903184
320	0.2279770548
321	0.2267711084
322	0.2260582509
323	0.2259613275
324	0.2257293618
325	0.2250827791
326	0.2244264181
327	0.2237037925
328	0.2233650629
329	0.2228581072
330	0.222263431
331	0.2220192947
332	0.2217999554
333	0.2215152119
334	0.2209159028
335	0.2205802085
336	0.2200839165
337	0.2197254835
338	0.2188037267
339	0.217938778
340	0.2176281857
341	0.2174526554
342	0.2172014385
343	0.2169056397
344	0.2165308093
345	0.2163260515
346	0.2154980534
347	0.2147138797
348	0.214568604
349	0.2140632595
350	0.2136828887
351	0.2125761597
352	0.2123697508
353	0.2117678621
354	0.2112105626
355	0.2100948191
356	0.2099401986
357	0.2096300771
358	0.2093485006
359	0.2088044336
360	0.2084940347
361	0.2083883388
362	0.2075250833
363	0.206624527
364	0.2063015519
365	0.2060621525
366	0.2054514812
367	0.204788953
368	0.2044780638
369	0.2039602047
370	0.2037955721
371	0.2034212865
372	0.2030888532
373	0.2026768841
